donor_id,country_code,zone_id,center_distance_km,travel_time_min,transport_capacity_slots,transfer_cost_usd,route_feasibility_flag,cold_chain_quality_score,area_deprivation_index,area_education_index,area_language_mix
1765,DE,DE-Z029,9.82,41,29,11.76,1,0.965,8,0.388,0.144
1766,CN,CN-Z028,6.75,22,47,11.28,1,0.979,5,0.624,0.294
1767,UG,UG-Z037,8.66,32,20,12.51,1,0.936,5,0.599,0.415
1768,JP,JP-Z053,13.94,54,13,13.65,1,0.962,1,0.919,0.507
1769,MX,MX-Z060,2.96,12,24,10.94,1,0.977,8,0.256,0.566
1770,US,US-Z067,11.8,33,14,14.09,1,0.93,7,0.424,0.26
1771,CN,CN-Z087,1.83,5,6,10.57,1,0.992,3,0.771,0.022
1772,TR,TR-Z089,2.87,7,37,6.93,1,1.0,4,0.654,0.299
1773,MX,MX-Z086,4.92,23,25,10.81,1,0.987,3,0.727,0.105
1774,UG,UG-Z037,4.06,15,36,8.99,1,0.962,7,0.383,0.396
1775,CN,CN-Z037,23.1,110,38,20.94,1,0.911,9,0.226,0.415
1776,MX,MX-Z047,1.63,7,49,6.78,1,0.994,2,0.88,0.279
1777,US,US-Z013,6.32,15,10,9.12,1,0.946,1,0.817,0.506
1778,TR,TR-Z043,16.91,52,8,16.75,0,0.99,1,0.925,0.748
1779,MX,MX-Z086,5.84,27,25,11.73,1,0.966,6,0.557,0.155
1780,BR,BR-Z049,6.51,29,22,11.47,1,0.944,10,0.198,0.267
1781,TR,TR-Z087,4.58,22,10,11.33,1,0.981,3,0.808,0.092
1782,UG,UG-Z034,1.79,6,37,8.57,1,0.994,6,0.534,0.463
1783,US,US-Z083,3.62,11,20,8.03,1,0.994,4,0.709,0.066
1784,DE,DE-Z021,21.03,76,21,16.84,1,0.865,2,0.758,0.39
1785,DE,DE-Z072,4.24,8,25,10.38,1,0.987,1,0.838,0.349
1786,DE,DE-Z062,18.35,65,14,14.5,1,0.857,8,0.351,0.379
1787,CN,CN-Z062,4.69,20,21,11.18,1,0.958,7,0.392,0.367
1788,UG,UG-Z073,2.76,8,30,7.97,1,0.976,6,0.422,0.51
1789,US,US-Z025,13.46,39,29,12.86,1,0.973,2,0.83,0.309
1790,TR,TR-Z049,4.06,17,45,8.15,1,0.969,6,0.616,0.195
1791,CN,CN-Z012,15.75,73,42,14.93,1,0.946,2,0.8,0.146
1792,UG,UG-Z018,9.39,40,5,10.09,1,0.927,7,0.412,0.413
1793,BR,BR-Z037,27.37,122,36,23.3,1,0.817,5,0.566,0.481
1794,US,US-Z027,3.3,7,30,11.29,1,0.993,8,0.296,0.155
1795,DE,DE-Z019,21.21,44,36,18.19,1,0.904,7,0.428,0.067
1796,MX,MX-Z038,4.39,20,30,10.57,1,0.965,9,0.243,0.279
1797,US,US-Z051,13.43,43,6,16.25,1,0.873,2,0.898,0.047
1798,IN,IN-Z051,6.53,22,5,8.65,1,0.967,4,0.683,0.132
1799,UG,UG-Z061,3.3,15,13,8.32,1,0.978,2,0.804,0.66
1800,JP,JP-Z069,13.87,33,35,12.57,1,0.93,3,0.647,0.165
1801,BR,BR-Z031,5.16,13,18,12.56,1,0.952,4,0.528,0.349
1802,US,US-Z011,10.99,29,37,13.87,1,0.998,4,0.705,0.352
1803,JP,JP-Z074,6.49,26,21,11.85,1,0.996,2,0.841,0.556
1804,IN,IN-Z012,7.17,20,32,8.78,1,0.93,10,0.144,0.427
1805,TR,TR-Z071,10.0,45,35,14.61,1,0.931,10,0.157,0.297
1806,MX,MX-Z048,9.84,23,5,14.44,1,0.967,4,0.612,0.22
1807,JP,JP-Z098,8.33,30,40,13.1,1,0.958,4,0.681,0.213
1808,UG,UG-Z028,2.24,5,43,8.43,1,0.978,6,0.475,0.403
1809,DE,DE-Z016,6.68,21,18,10.11,1,0.951,9,0.334,0.133
1810,IN,IN-Z021,7.26,17,9,12.84,1,0.96,2,0.869,0.383
1811,MX,MX-Z028,3.84,8,35,7.19,1,0.987,4,0.692,0.095
1812,BR,BR-Z044,18.46,48,27,16.57,1,0.904,3,0.734,0.362
1813,DE,DE-Z082,12.08,33,31,13.95,1,1.0,8,0.353,0.776
1814,US,US-Z026,13.49,65,22,12.3,0,0.933,2,0.848,0.683
1815,JP,JP-Z049,2.38,6,10,7.22,1,0.986,10,0.23,0.287
1816,MX,MX-Z044,8.17,39,40,11.45,1,0.95,2,0.868,0.335
1817,CN,CN-Z032,3.14,11,42,9.43,1,1.0,2,0.883,0.261
1818,TR,TR-Z039,7.95,39,17,13.32,1,0.947,3,0.737,0.396
1819,TR,TR-Z042,5.64,17,37,8.63,1,0.978,10,0.17,0.024
1820,IN,IN-Z061,19.77,48,44,18.55,1,0.974,8,0.382,0.209
1821,BR,BR-Z074,11.01,30,19,14.23,1,0.98,3,0.777,0.231
1822,IN,IN-Z001,4.54,19,20,12.03,1,0.985,7,0.39,0.224
1823,CN,CN-Z028,57.74,263,25,37.81,0,0.786,2,0.895,0.364
1824,UG,UG-Z049,13.87,42,25,16.31,1,0.876,6,0.53,0.364
1825,BR,BR-Z064,15.59,62,32,17.04,1,0.982,3,0.766,0.135
1826,UG,UG-Z001,8.23,22,45,13.68,1,0.96,9,0.267,0.594
1827,BR,BR-Z036,10.49,42,5,14.04,1,0.923,8,0.395,0.24
1828,BR,BR-Z023,6.56,15,40,10.27,1,0.953,5,0.52,0.219
1829,CN,CN-Z056,9.11,27,8,10.76,1,0.961,1,0.907,0.093
1830,US,US-Z014,3.26,12,45,11.17,1,0.98,8,0.419,0.139
1831,CN,CN-Z072,14.68,39,36,16.89,1,0.921,4,0.624,0.389
1832,BR,BR-Z036,22.02,81,22,17.9,1,0.98,9,0.205,0.643
1833,MX,MX-Z060,5.77,23,46,8.8,1,0.984,7,0.339,0.04
1834,UG,UG-Z064,26.48,103,24,18.58,1,0.811,1,0.956,0.329
1835,CN,CN-Z051,5.06,12,46,12.43,1,0.969,6,0.494,0.364
1836,US,US-Z007,4.31,12,32,11.85,1,0.999,2,0.885,0.06
1837,JP,JP-Z058,10.62,52,31,13.89,1,0.911,6,0.427,0.197
1838,IN,IN-Z074,8.12,24,43,11.06,1,0.941,7,0.376,0.159
1839,BR,BR-Z093,4.95,17,40,10.03,1,0.97,10,0.228,0.4
1840,JP,JP-Z017,6.04,16,44,8.55,0,0.967,8,0.293,0.36
1841,TR,TR-Z021,4.83,10,32,9.46,1,0.99,3,0.697,0.339
1842,DE,DE-Z076,10.51,29,47,10.87,1,0.929,6,0.534,0.361
1843,US,US-Z052,9.94,23,44,12.55,1,0.912,7,0.463,0.353
1844,DE,DE-Z091,2.76,8,44,9.51,1,0.973,10,0.187,0.134
1845,US,US-Z001,3.28,11,21,7.0,1,0.968,4,0.649,0.068
1846,MX,MX-Z013,3.46,16,20,7.45,1,0.995,9,0.188,0.28
1847,IN,IN-Z052,5.53,12,27,10.19,1,0.964,2,0.933,0.537
1848,JP,JP-Z059,19.62,58,38,19.13,1,0.844,10,0.1,0.101
1849,UG,UG-Z052,17.99,66,26,14.96,1,0.844,4,0.595,0.233
1850,US,US-Z093,2.89,12,9,10.62,1,0.973,6,0.523,0.334
1851,UG,UG-Z050,10.28,41,45,13.92,1,0.915,6,0.577,0.237
1852,IN,IN-Z058,13.11,40,19,12.44,1,0.921,8,0.264,0.053
1853,BR,BR-Z040,10.2,25,12,10.96,1,0.994,7,0.376,0.051
1854,TR,TR-Z073,1.18,4,40,6.55,1,0.993,8,0.276,0.053
1855,JP,JP-Z046,25.98,126,36,20.54,1,0.845,4,0.718,0.324
1856,IN,IN-Z005,50.04,206,14,32.05,1,0.691,9,0.247,0.058
1857,IN,IN-Z078,8.32,40,14,11.3,1,0.977,10,0.154,0.206
1858,MX,MX-Z024,4.42,19,49,8.62,1,0.984,7,0.502,0.474
1859,DE,DE-Z082,3.64,8,49,9.65,1,0.978,10,0.117,0.267
1860,TR,TR-Z052,21.28,71,33,16.5,1,0.944,3,0.819,0.405
1861,JP,JP-Z052,5.26,14,5,9.47,1,0.996,8,0.313,0.083
1862,BR,BR-Z077,4.13,20,10,8.64,1,0.992,3,0.766,0.528
1863,BR,BR-Z033,9.5,35,27,11.0,1,0.939,2,0.845,0.406
1864,CN,CN-Z053,2.77,6,13,7.3,1,0.994,3,0.584,0.143
1865,IN,IN-Z012,3.2,14,21,10.89,1,0.979,1,0.896,0.102
1866,US,US-Z021,9.96,34,25,10.33,1,0.938,7,0.416,0.431
1867,MX,MX-Z031,3.6,13,19,10.08,1,0.991,4,0.771,0.398
1868,TR,TR-Z032,1.77,5,41,8.39,1,0.985,2,0.849,0.218
1869,BR,BR-Z053,14.95,45,21,13.84,1,0.98,6,0.529,0.183
1870,JP,JP-Z098,15.67,63,19,15.35,1,1.0,2,0.845,0.515
1871,CN,CN-Z013,3.29,9,39,8.49,1,0.996,2,0.776,0.32
1872,JP,JP-Z029,6.1,20,28,9.03,1,0.967,7,0.376,0.441
1873,MX,MX-Z094,3.12,9,14,8.0,1,0.975,8,0.362,0.208
1874,US,US-Z094,15.31,70,39,14.62,1,0.874,9,0.223,0.285
1875,CN,CN-Z009,1.48,6,31,6.65,1,0.992,9,0.284,0.192
1876,CN,CN-Z070,2.54,10,16,10.53,1,0.977,7,0.468,0.054
1877,DE,DE-Z047,22.84,89,47,21.21,0,0.935,2,0.812,0.589
1878,TR,TR-Z004,13.13,41,39,16.32,1,0.882,8,0.428,0.342
1879,CN,CN-Z079,13.32,59,49,13.47,1,0.915,10,0.249,0.34
1880,DE,DE-Z075,5.92,25,31,12.22,1,0.941,6,0.467,0.322
1881,DE,DE-Z031,22.0,71,16,18.07,1,0.85,8,0.297,0.398
1882,MX,MX-Z062,8.05,29,23,10.97,1,0.962,3,0.802,0.161
1883,UG,UG-Z028,2.49,7,47,6.84,1,0.997,3,0.746,0.299
1884,JP,JP-Z038,11.28,32,37,10.95,1,0.892,3,0.695,0.444
1885,US,US-Z048,22.96,110,13,18.67,1,0.937,5,0.6,0.289
1886,JP,JP-Z036,20.03,76,33,17.61,1,0.914,4,0.694,0.341
1887,CN,CN-Z052,20.15,98,13,19.44,1,0.89,5,0.565,0.024
1888,US,US-Z074,1.53,5,30,9.66,1,0.988,6,0.515,0.065
1889,BR,BR-Z094,6.58,26,26,10.49,1,0.938,4,0.738,0.457
1890,UG,UG-Z015,7.47,20,24,10.87,0,0.974,6,0.433,0.188
1891,BR,BR-Z001,4.13,19,18,11.18,1,0.965,4,0.68,0.137
1892,BR,BR-Z076,8.79,35,25,9.49,1,0.967,10,0.182,0.577
1893,TR,TR-Z053,4.43,18,40,7.4,1,0.977,9,0.357,0.6
1894,JP,JP-Z094,1.32,3,30,7.62,1,0.995,8,0.268,0.467
1895,MX,MX-Z069,4.02,16,25,8.96,1,0.999,5,0.572,0.245
1896,BR,BR-Z089,11.82,55,13,11.19,1,0.9,5,0.611,0.51
1897,CN,CN-Z060,9.33,25,14,12.81,1,0.979,1,0.924,0.452
1898,UG,UG-Z024,2.94,6,13,10.5,1,0.973,9,0.201,0.539
1899,IN,IN-Z087,12.81,52,15,15.82,1,0.961,7,0.361,0.12
1900,BR,BR-Z031,15.51,31,10,15.33,1,0.852,7,0.399,0.622
1901,UG,UG-Z045,8.05,26,46,10.46,1,0.927,4,0.659,0.336
1902,US,US-Z027,6.89,14,35,11.34,1,0.987,3,0.684,0.376
1903,JP,JP-Z019,9.74,25,48,14.81,1,0.952,9,0.228,0.274
1904,DE,DE-Z012,2.92,11,31,11.45,1,0.983,7,0.448,0.114
1905,TR,TR-Z087,50.94,116,23,30.86,1,0.944,10,0.201,0.065
1906,UG,UG-Z050,10.63,25,12,11.61,1,0.996,5,0.541,0.372
1907,CN,CN-Z082,10.08,40,15,13.67,1,0.938,4,0.725,0.212
1908,CN,CN-Z012,2.19,9,46,6.5,1,0.998,3,0.647,0.133
1909,UG,UG-Z021,23.94,70,17,18.24,1,0.916,6,0.583,0.167
1910,CN,CN-Z057,3.22,12,44,6.68,0,0.971,1,1.0,0.189
1911,JP,JP-Z019,4.98,18,8,9.59,1,0.973,4,0.609,0.491
1912,CN,CN-Z017,6.98,20,25,12.83,1,0.936,6,0.453,0.235
1913,DE,DE-Z059,4.4,12,7,7.2,1,0.99,1,0.975,0.192
1914,CN,CN-Z039,6.57,25,9,8.35,1,0.969,4,0.646,0.041
1915,DE,DE-Z073,3.66,8,38,9.48,1,0.979,1,0.94,0.101
1916,BR,BR-Z054,13.97,60,29,12.81,1,0.957,8,0.34,0.139
1917,MX,MX-Z062,10.5,42,16,13.26,1,0.992,6,0.554,0.53
1918,JP,JP-Z006,5.27,11,44,9.52,1,0.982,6,0.533,0.155
1919,MX,MX-Z020,15.31,63,20,14.23,1,0.889,1,0.914,0.23
1920,BR,BR-Z008,8.24,29,37,9.68,1,0.961,2,0.872,0.514
1921,JP,JP-Z018,2.87,5,23,11.04,1,0.973,9,0.258,0.117
1922,UG,UG-Z086,4.08,15,24,9.3,1,0.987,1,0.963,0.112
1923,UG,UG-Z058,11.66,56,37,11.46,1,0.944,4,0.677,0.317
1924,DE,DE-Z055,13.59,48,37,11.8,1,0.877,6,0.54,0.404
1925,BR,BR-Z082,10.58,48,34,11.94,1,0.949,2,0.865,0.384
1926,DE,DE-Z021,6.58,13,8,12.97,1,0.943,7,0.38,0.242
1927,TR,TR-Z020,19.61,49,23,18.78,1,0.944,7,0.504,0.354
1928,CN,CN-Z065,3.22,10,22,9.57,1,0.976,1,0.821,0.438
1929,IN,IN-Z030,4.54,16,32,12.2,1,0.99,6,0.444,0.487
1930,TR,TR-Z022,6.75,32,48,8.4,1,0.966,5,0.587,0.238
1931,CN,CN-Z009,9.9,24,27,13.82,1,0.914,2,0.881,0.233
1932,JP,JP-Z053,6.17,17,6,11.67,1,0.967,7,0.412,0.521
1933,DE,DE-Z093,1.91,6,23,6.71,1,0.994,10,0.166,0.207
1934,JP,JP-Z082,3.92,11,37,7.59,1,0.979,4,0.681,0.321
1935,JP,JP-Z092,1.9,7,18,9.49,1,0.983,9,0.256,0.118
1936,CN,CN-Z073,4.07,11,9,8.19,1,0.97,8,0.349,0.428
1937,BR,BR-Z006,3.52,11,39,7.79,0,0.969,5,0.62,0.615
1938,CN,CN-Z086,29.58,73,38,21.11,1,0.734,2,0.87,0.254
1939,US,US-Z038,17.8,42,25,14.32,1,0.934,4,0.681,0.256
1940,UG,UG-Z066,11.53,29,43,12.3,1,0.988,1,0.952,0.423
1941,UG,UG-Z007,24.42,78,13,21.86,1,0.92,8,0.323,0.184
1942,TR,TR-Z096,10.46,23,35,10.54,1,0.944,10,0.204,0.332
1943,UG,UG-Z032,1.22,4,47,10.4,1,0.988,8,0.396,0.325
1944,CN,CN-Z088,24.25,79,10,18.19,1,0.949,4,0.728,0.091
1945,DE,DE-Z047,12.92,36,41,16.46,0,0.955,4,0.592,0.402
1946,CN,CN-Z072,25.58,97,38,20.57,1,0.881,1,0.913,0.372
1947,CN,CN-Z031,4.63,18,37,10.19,1,0.989,2,0.799,0.25
1948,IN,IN-Z037,4.11,19,38,11.5,0,0.973,10,0.201,0.107
1949,DE,DE-Z054,8.48,17,9,12.46,1,0.96,3,0.62,0.245
1950,US,US-Z020,9.6,46,48,14.23,1,0.941,6,0.415,0.206
1951,UG,UG-Z072,11.69,37,33,12.26,1,0.912,8,0.432,0.155
1952,DE,DE-Z071,12.08,34,42,15.18,1,0.899,2,0.874,0.196
1953,UG,UG-Z029,7.89,21,46,9.79,1,0.988,3,0.844,0.622
1954,TR,TR-Z034,8.74,39,43,9.8,0,0.946,4,0.638,0.128
1955,DE,DE-Z022,4.49,13,48,8.06,1,0.977,1,0.861,0.112
1956,UG,UG-Z070,6.64,14,42,12.57,1,0.972,7,0.387,0.324
1957,US,US-Z076,16.77,57,40,14.51,1,0.91,9,0.27,0.096
1958,MX,MX-Z054,9.54,35,26,12.59,1,0.985,6,0.435,0.533
1959,JP,JP-Z042,9.83,22,17,14.63,1,0.932,9,0.26,0.101
1960,JP,JP-Z046,2.59,10,28,10.54,1,0.977,9,0.226,0.023
1961,US,US-Z028,8.62,41,41,12.56,0,0.954,10,0.189,0.055
1962,IN,IN-Z090,4.07,18,47,10.28,1,0.994,7,0.341,0.403
1963,MX,MX-Z073,12.35,61,22,12.6,1,0.959,1,0.928,0.207
1964,TR,TR-Z049,3.94,15,6,9.2,1,0.989,1,0.892,0.313
1965,US,US-Z027,5.45,13,35,9.97,1,0.957,3,0.766,0.24
1966,JP,JP-Z039,80.16,291,7,49.21,1,0.608,3,0.822,0.236
1967,JP,JP-Z092,11.84,35,8,12.03,1,0.986,10,0.119,0.286
1968,JP,JP-Z096,24.95,87,49,19.97,1,0.85,5,0.577,0.397
1969,BR,BR-Z098,6.4,19,44,9.59,0,0.977,2,0.906,0.456
1970,US,US-Z056,12.61,42,27,12.39,1,0.975,8,0.368,0.4
1971,CN,CN-Z096,17.41,47,30,13.81,0,0.851,5,0.536,0.162
1972,TR,TR-Z074,3.28,14,22,11.28,1,0.968,10,0.218,0.365
1973,JP,JP-Z035,5.43,25,8,8.65,1,0.946,3,0.751,0.466
1974,UG,UG-Z018,10.12,37,25,11.42,1,0.993,8,0.383,0.386
1975,US,US-Z037,8.39,34,30,13.62,1,0.986,4,0.657,0.259
1976,BR,BR-Z024,17.99,41,17,15.48,1,0.91,5,0.597,0.134
1977,US,US-Z024,4.29,15,36,7.5,1,0.99,1,0.965,0.64
1978,TR,TR-Z030,50.33,161,22,31.29,1,0.733,8,0.325,0.152
1979,BR,BR-Z027,10.84,37,49,10.85,1,0.982,10,0.209,0.255
1980,TR,TR-Z030,5.64,15,33,8.02,1,0.948,1,0.931,0.431
1981,US,US-Z004,8.3,24,35,13.47,1,0.972,3,0.8,0.396
1982,CN,CN-Z027,10.9,22,18,12.44,1,0.919,3,0.837,0.187
1983,TR,TR-Z067,11.72,30,18,15.8,1,0.889,6,0.5,0.073
1984,BR,BR-Z006,5.14,25,20,10.0,1,0.989,10,0.215,0.085
1985,BR,BR-Z007,4.26,15,33,11.17,1,0.965,9,0.258,0.572
1986,TR,TR-Z085,5.29,20,31,10.14,1,0.966,1,0.851,0.605
1987,US,US-Z071,29.47,146,22,20.04,1,0.802,8,0.302,0.149
1988,IN,IN-Z002,6.46,27,32,11.57,0,0.988,8,0.317,0.079
1989,US,US-Z073,5.95,28,34,11.07,1,0.982,7,0.477,0.279
1990,TR,TR-Z067,6.65,29,17,9.15,0,0.936,9,0.256,0.03
1991,MX,MX-Z015,10.97,26,17,13.89,1,0.984,6,0.483,0.363
1992,TR,TR-Z049,4.93,19,10,11.83,0,0.983,9,0.292,0.441
1993,CN,CN-Z035,2.5,8,42,6.75,1,0.986,2,0.89,0.228
1994,TR,TR-Z085,14.72,72,37,17.24,1,0.856,7,0.414,0.344
1995,TR,TR-Z017,5.72,23,48,10.59,1,0.959,4,0.642,0.121
1996,CN,CN-Z070,19.43,47,10,17.38,1,0.976,8,0.377,0.174
1997,TR,TR-Z015,52.14,244,32,35.52,1,0.933,9,0.244,0.695
1998,JP,JP-Z012,3.92,15,18,11.91,1,0.996,9,0.266,0.15
1999,MX,MX-Z033,4.65,14,27,11.11,1,0.986,7,0.444,0.467
2000,UG,UG-Z010,10.59,27,49,12.41,1,0.902,8,0.267,0.452
2001,MX,MX-Z070,6.9,30,24,11.07,1,0.975,1,0.827,0.362
2002,TR,TR-Z042,25.36,71,11,20.13,1,0.885,4,0.644,0.43
2003,JP,JP-Z033,7.18,29,25,9.76,1,0.988,2,0.818,0.119
2004,US,US-Z013,4.79,22,14,11.46,1,0.999,6,0.472,0.1
2005,TR,TR-Z066,3.73,12,9,10.25,1,0.983,1,0.919,0.286
2006,JP,JP-Z018,3.93,10,16,8.52,1,0.971,5,0.568,0.102
2007,CN,CN-Z081,14.47,58,39,14.05,1,0.982,2,0.914,0.271
2008,JP,JP-Z098,1.68,7,37,10.25,1,0.986,7,0.484,0.333
2009,CN,CN-Z008,13.12,52,37,13.23,1,0.882,1,0.996,0.483
2010,IN,IN-Z056,8.36,18,30,9.67,1,0.97,9,0.316,0.03
2011,UG,UG-Z093,8.32,31,45,10.9,1,0.981,4,0.595,0.087
2012,DE,DE-Z006,14.41,36,34,14.65,1,0.959,3,0.834,0.146
2013,JP,JP-Z079,7.37,36,20,11.79,1,1.0,5,0.452,0.365
2014,BR,BR-Z095,3.95,14,29,7.36,1,0.983,4,0.574,0.066
2015,TR,TR-Z045,1.74,7,18,8.39,1,0.999,7,0.408,0.188
2016,MX,MX-Z030,5.98,28,5,9.27,1,0.986,1,0.925,0.564
2017,DE,DE-Z084,5.18,16,26,8.05,1,0.982,3,0.853,0.779
2018,MX,MX-Z026,10.49,44,47,12.18,1,0.967,5,0.548,0.656
2019,IN,IN-Z020,15.96,50,14,14.58,1,0.925,9,0.276,0.448
2020,DE,DE-Z056,10.36,39,43,14.8,1,0.988,4,0.664,0.345
2021,DE,DE-Z024,7.18,26,23,9.16,1,0.958,9,0.223,0.254
2022,MX,MX-Z060,19.8,83,15,17.54,1,0.851,1,0.92,0.096
2023,CN,CN-Z040,4.33,9,11,7.23,1,0.971,8,0.29,0.349
2024,MX,MX-Z048,1.72,3,32,9.69,1,0.996,7,0.528,0.113
2025,CN,CN-Z016,7.88,21,31,10.58,1,0.947,3,0.817,0.319
2026,IN,IN-Z058,7.47,28,43,12.04,1,0.994,1,0.862,0.346
2027,TR,TR-Z068,3.46,9,37,7.69,1,0.992,5,0.665,0.716
2028,US,US-Z098,5.23,20,39,12.12,1,0.972,5,0.528,0.351
2029,CN,CN-Z067,7.51,24,8,11.43,1,0.953,5,0.514,0.354
2030,IN,IN-Z067,9.24,27,36,12.65,1,0.995,2,0.903,0.214
2031,BR,BR-Z063,2.92,13,27,6.81,1,0.998,2,0.759,0.661
2032,IN,IN-Z038,5.54,23,48,12.68,1,0.963,1,0.963,0.216
2033,MX,MX-Z065,2.47,6,9,7.62,1,0.991,8,0.412,0.276
2034,MX,MX-Z012,10.24,45,28,12.08,1,0.94,1,0.951,0.224
2035,US,US-Z083,9.54,38,6,10.97,1,0.944,2,0.846,0.487
2036,IN,IN-Z099,7.18,30,5,9.37,1,0.939,5,0.54,0.071
2037,UG,UG-Z069,7.15,18,37,11.97,1,0.947,4,0.704,0.293
2038,TR,TR-Z043,23.44,112,19,18.04,1,0.822,5,0.573,0.188
2039,MX,MX-Z051,2.64,10,11,11.11,1,0.994,7,0.437,0.516
2040,US,US-Z039,15.14,68,6,16.89,1,0.876,4,0.75,0.091
2041,TR,TR-Z074,51.4,148,20,31.75,1,0.929,1,0.902,0.396
2042,IN,IN-Z010,4.65,20,45,7.9,1,0.973,2,0.811,0.224
2043,IN,IN-Z036,5.25,23,23,8.62,1,0.983,7,0.398,0.416
2044,DE,DE-Z099,15.59,41,16,14.16,1,0.947,9,0.266,0.476
2045,US,US-Z089,6.16,22,45,10.86,1,0.995,7,0.422,0.228
2046,MX,MX-Z049,24.44,65,24,18.92,1,0.982,3,0.843,0.267
2047,UG,UG-Z051,2.68,5,13,6.49,1,0.987,4,0.675,0.133
2048,IN,IN-Z058,3.21,11,11,10.63,1,0.991,6,0.451,0.117
2049,UG,UG-Z095,17.78,86,44,14.62,1,0.91,8,0.367,0.499
2050,IN,IN-Z083,17.47,44,40,16.3,1,0.895,4,0.668,0.398
2051,MX,MX-Z007,3.59,12,37,9.31,1,0.971,3,0.781,0.176
2052,TR,TR-Z009,3.34,14,14,7.41,1,0.978,4,0.654,0.299
2053,JP,JP-Z089,16.84,35,38,16.85,1,0.845,1,0.919,0.18
2054,TR,TR-Z023,4.57,22,6,7.6,1,0.994,7,0.438,0.079
2055,IN,IN-Z077,4.26,16,18,8.74,1,0.995,4,0.663,0.235
2056,JP,JP-Z063,12.33,53,11,16.03,1,0.88,8,0.186,0.15
2057,JP,JP-Z042,15.66,52,41,12.85,1,0.932,3,0.816,0.203
2058,UG,UG-Z011,6.4,14,46,11.78,1,0.987,4,0.797,0.161
2059,US,US-Z099,2.54,11,40,11.07,1,0.977,7,0.431,0.121
2060,UG,UG-Z088,1.21,5,32,9.64,1,0.997,5,0.563,0.209
2061,UG,UG-Z034,3.54,13,18,7.22,1,0.971,8,0.353,0.388
2062,TR,TR-Z045,6.51,28,48,9.04,1,0.963,5,0.559,0.194
2063,TR,TR-Z079,4.1,14,48,11.61,1,0.979,6,0.501,0.105
2064,BR,BR-Z011,5.26,24,38,11.63,1,0.998,6,0.559,0.132
2065,IN,IN-Z052,10.93,36,11,11.47,1,0.958,10,0.189,0.258
2066,BR,BR-Z083,12.47,32,7,15.43,1,0.963,2,0.824,0.09
2067,MX,MX-Z060,8.56,26,14,9.54,0,0.924,9,0.328,0.24
2068,IN,IN-Z048,7.49,29,44,9.57,1,0.938,6,0.568,0.596
2069,IN,IN-Z028,15.35,50,32,14.08,1,0.94,4,0.676,0.157
2070,DE,DE-Z057,12.25,27,40,15.12,1,0.965,10,0.146,0.088
2071,DE,DE-Z038,8.59,20,48,9.5,1,0.916,4,0.688,0.387
2072,CN,CN-Z014,19.57,40,32,18.19,1,0.974,2,0.747,0.133
2073,CN,CN-Z071,3.68,8,10,7.76,1,0.964,1,0.973,0.345
2074,UG,UG-Z032,16.21,52,5,15.35,1,0.909,1,0.882,0.381
2075,MX,MX-Z056,6.87,19,42,10.31,0,0.988,7,0.431,0.223
2076,JP,JP-Z001,9.81,27,44,11.63,1,0.97,4,0.67,0.469
2077,JP,JP-Z061,3.91,18,44,8.29,0,0.963,2,0.852,0.216
2078,DE,DE-Z086,1.82,6,39,10.04,1,0.988,10,0.147,0.111
2079,DE,DE-Z097,4.22,19,23,11.18,1,0.997,5,0.531,0.379
2080,DE,DE-Z048,4.25,16,15,8.1,1,0.972,2,0.787,0.579
2081,US,US-Z012,3.28,16,14,10.15,1,0.993,8,0.27,0.193
2082,CN,CN-Z029,6.44,23,30,12.68,1,0.967,8,0.338,0.397
2083,TR,TR-Z033,11.23,30,38,15.06,1,0.958,10,0.112,0.211
2084,JP,JP-Z033,6.62,30,33,9.7,1,0.98,7,0.296,0.397
2085,IN,IN-Z022,9.67,21,36,10.14,1,0.925,10,0.229,0.231
2086,CN,CN-Z070,8.45,20,13,11.43,1,0.971,1,0.903,0.407
2087,BR,BR-Z095,1.94,6,6,10.35,1,0.994,1,0.924,0.664
2088,TR,TR-Z084,11.56,34,48,13.34,1,0.992,4,0.699,0.278
2089,CN,CN-Z080,14.16,44,14,16.42,1,0.898,4,0.632,0.261
2090,MX,MX-Z033,47.72,228,26,32.53,1,0.69,8,0.347,0.467
2091,IN,IN-Z011,4.31,16,40,10.87,1,0.986,1,0.913,0.358
2092,CN,CN-Z034,9.57,43,42,10.82,1,0.947,2,0.788,0.182
2093,US,US-Z055,12.03,40,48,14.8,1,0.983,9,0.258,0.311
2094,DE,DE-Z092,5.81,27,45,8.14,1,0.964,4,0.621,0.491
2095,DE,DE-Z063,24.69,71,23,18.21,1,0.913,9,0.222,0.216
2096,IN,IN-Z006,5.17,21,36,9.59,1,0.96,10,0.131,0.423
2097,DE,DE-Z044,3.22,10,5,9.46,1,0.977,1,0.894,0.078
2098,CN,CN-Z001,3.43,8,9,10.79,0,0.989,5,0.647,0.207
2099,BR,BR-Z037,2.75,7,20,9.15,1,0.998,3,0.65,0.133
2100,JP,JP-Z086,3.02,7,10,10.78,1,0.981,8,0.357,0.125
2101,JP,JP-Z097,11.4,24,16,15.14,1,0.998,5,0.57,0.401
2102,TR,TR-Z018,8.96,41,9,10.58,1,0.973,9,0.194,0.173
2103,UG,UG-Z093,9.07,42,47,13.69,1,0.979,8,0.326,0.458
2104,MX,MX-Z002,4.49,9,48,8.89,1,0.97,8,0.386,0.583
2105,IN,IN-Z065,5.21,14,32,10.66,1,0.949,4,0.74,0.243
